"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Marinoski A.K.; Rupp R.F.; Ghisi E.","Marinoski, Ana Kelly (55350753400); Rupp, Ricardo Forgiarini (59137675200); Ghisi, Enedir (8859872400)","55350753400; 59137675200; 8859872400","Environmental benefit analysis of strategies for potable water savings in residential buildings","2018","Journal of Environmental Management","206","","","28","39","11","62","10.1016/j.jenvman.2017.10.004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85031772517&doi=10.1016%2fj.jenvman.2017.10.004&partnerID=40&md5=a635dc2a15b240ce0f59a5490a7656dc","Article","Final","","Scopus","2-s2.0-85031772517"
"Martinelli G.; Vogel E.; Decian M.; Farinha M.J.U.S.; Bernardo L.V.M.; Borges J.A.R.; Gimenes R.M.T.; Garcia R.G.; Ruviaro C.F.","Martinelli, Gabrielli (57204324373); Vogel, Everton (57204244951); Decian, Michel (57210834369); Farinha, Maycon Jorge Ulisses Saraiva (57193415134); Bernardo, Luciana Virginia Mario (57193434886); Borges, João Augusto Rossi (56591898600); Gimenes, Régio Marcio Toesca (57194021912); Garcia, Rodrigo Garofallo (25027417600); Ruviaro, Clandio Favarini (53878274700)","57204324373; 57204244951; 57210834369; 57193415134; 57193434886; 56591898600; 57194021912; 25027417600; 53878274700","Assessing the eco-efficiency of different poultry production systems: an approach using life cycle assessment and economic value added","2020","Sustainable Production and Consumption","24","","","181","193","12","46","10.1016/j.spc.2020.07.007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088114119&doi=10.1016%2fj.spc.2020.07.007&partnerID=40&md5=617eb77ad41d154166123222ca5ff6a0","Article","Final","","Scopus","2-s2.0-85088114119"
"Petersen A.B.B.; Albertini F.M.; Tutikian B.F.","Petersen, André Barros Bolzani (57217257845); Albertini, Felipe Mattos (57217254054); Tutikian, Bernardo Fonseca (36246774900)","57217257845; 57217254054; 36246774900","Proposal of a method for service life prediction of a concrete structure: A case study","2020","Revista Escola de Minas","73","3","","311","317","6","3","10.1590/0370-44672019730142","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086916462&doi=10.1590%2f0370-44672019730142&partnerID=40&md5=5c347a92365d491aeed7f18241b046dc","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85086916462"
"Torres E.; Zeidan R.","Torres, Ernani (57191953503); Zeidan, Rodrigo (23983890700)","57191953503; 23983890700","The life-cycle of national development banks: The experience of Brazil's BNDES","2016","Quarterly Review of Economics and Finance","62","","","97","104","7","37","10.1016/j.qref.2016.07.006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84995467403&doi=10.1016%2fj.qref.2016.07.006&partnerID=40&md5=3057576b105423ec299c92e25e59f2d4","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-84995467403"
"Barreto B.D.H.T.; Schmid A.L.","Barreto, Benício Daniel Hassegawa Teixeira (57217042132); Schmid, Aloísio Leoni (54889778200)","57217042132; 54889778200","Temporary architecture: Proposal of a temporary educational module for public institutions of Brazil dedicated to the education of young people and adults under the optical minimization of energy expenditure","2017","Proceedings of 33rd PLEA International Conference: Design to Thrive, PLEA 2017","1","","","1471","1478","7","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085916074&partnerID=40&md5=f2457b012ba1330ea70e36b0133546be","Conference paper","Final","","Scopus","2-s2.0-85085916074"
"Sartori T.; Calmon J.L.","Sartori, Thais (57204517821); Calmon, João Luiz (55550066300)","57204517821; 55550066300","Analysis of the impacts of retrofit actions on the life cycle energy consumption of typical neighbourhood dwellings","2019","Journal of Building Engineering","21","","","158","172","14","33","10.1016/j.jobe.2018.10.009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055904009&doi=10.1016%2fj.jobe.2018.10.009&partnerID=40&md5=f9a74e186e1d0dbe5bd8ef59eacd102e","Article","Final","","Scopus","2-s2.0-85055904009"
"Pessoa R.G.A.Q.; Cardoso A.S.; Delmiro T.D.; Kohlman Rabbani E.R.","Pessoa, Rodrigo G. A. Q. (57217363420); Cardoso, Ariane S. (57193759933); Delmiro, Thayse D. (57217354958); Kohlman Rabbani, Emilia R. (41461610100)","57217363420; 57193759933; 57217354958; 41461610100","Comparative study of CO2 emissions from ceramic brick and plaster block vertical seals","2020","Journal of Urban and Environmental Engineering","14","1","","32","41","9","0","10.4090/juee.2020.v14n1.032041","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087115091&doi=10.4090%2fjuee.2020.v14n1.032041&partnerID=40&md5=346a6e56bbbee7cb48f46ea324d78986","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85087115091"
"Primo R.; Rodríguez J.; Silva M.; de Jong P.; Kouloukoui D.; Cunha F.; Esquerre K.; Kalid R.","Primo, Rilton (57208224220); Rodríguez, José (56282266800); Silva, Marcelo (56965982100); de Jong, Pieter (57195713283); Kouloukoui, Daniel (57200617473); Cunha, Felipe (57203057136); Esquerre, Karla (35794317800); Kalid, Ricardo (25121112300)","57208224220; 56282266800; 56965982100; 57195713283; 57200617473; 57203057136; 35794317800; 25121112300","Water heating systems for tropical homes: A index of economicity and eco-efficiency","2018","ECOS 2018 - Proceedings of the 31st International Conference on Efficiency, Cost, Optimization, Simulation and Environmental Impact of Energy Systems","","","","","","","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064177040&partnerID=40&md5=48e1def5828596e432afe3bad3968b4c","Conference paper","Final","","Scopus","2-s2.0-85064177040"
"Starke A.R.; Cardemil J.M.; Colle S.","Starke, Allan R. (57190933365); Cardemil, José M. (36536484300); Colle, Sergio (6604029804)","57190933365; 36536484300; 6604029804","Multi-objective optimization of a solar-assisted heat pump for swimming pool heating using genetic algorithm","2018","Applied Thermal Engineering","142","","","118","126","8","41","10.1016/j.applthermaleng.2018.06.067","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049350703&doi=10.1016%2fj.applthermaleng.2018.06.067&partnerID=40&md5=2933e2906fc046fcabc8039f84fef7ed","Article","Final","","Scopus","2-s2.0-85049350703"
"Alves T.D.S.; Lara G.H.B.; Maluta R.P.; Ribeiro M.G.; Leite D.D.S.","Alves, Taila dos Santos (57202930625); Lara, Gustavo Henrique Batista (21741198900); Maluta, Renato Pariz (23095191800); Ribeiro, Márcio Garcia (7201715099); Leite, Domingos da Silva (57193011405)","57202930625; 21741198900; 23095191800; 7201715099; 57193011405","Carrier flies of multidrug-resistant Escherichia coli as potential dissemination agent in dairy farm environment","2018","Science of the Total Environment","633","","","1345","1351","6","33","10.1016/j.scitotenv.2018.03.304","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049843095&doi=10.1016%2fj.scitotenv.2018.03.304&partnerID=40&md5=de89224db9432f89f715184170d0f7e0","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85049843095"
